MEDIDAS	TIME_PERIOD	TERRITORIO	SEXO	OBS_VALUE	CONFIDENCIALIDAD_OBSERVACION	NOTAS_OBSERVACION	ESTADO_OBSERVACION	ESTADO_OBSERVACION_CODE
Población	2017	Adeje	Mujeres	23221				
Población. Variación anual	2017	Adeje	Mujeres	-151				
Población. Tasa de variación anual	2017	Adeje	Mujeres	-0.65				
Población. Proporción	2017	Adeje	Mujeres	2.18				
Población	2016	Adeje	Mujeres	23372				
Población. Variación anual	2016	Adeje	Mujeres	991				
Población. Tasa de variación anual	2016	Adeje	Mujeres	4.43				
Población. Proporción	2016	Adeje	Mujeres	2.21				
Población	2015	Adeje	Mujeres	22381				
Población. Variación anual	2015	Adeje	Mujeres	-541				
Población. Tasa de variación anual	2015	Adeje	Mujeres	-2.36				
Población. Proporción	2015	Adeje	Mujeres	2.12				
Población	2014	Adeje	Mujeres	22922				
Población. Variación anual	2014	Adeje	Mujeres	-1189				
Población. Tasa de variación anual	2014	Adeje	Mujeres	-4.93				
Población. Proporción	2014	Adeje	Mujeres	2.17				
Población	2013	Adeje	Mujeres	24111				
Población. Variación anual	2013	Adeje	Mujeres	1282				
Población. Tasa de variación anual	2013	Adeje	Mujeres	5.62				
Población. Proporción	2013	Adeje	Mujeres	2.27				
Población	2012	Adeje	Mujeres	22829				
Población. Variación anual	2012	Adeje	Mujeres	929				
Población. Tasa de variación anual	2012	Adeje	Mujeres	4.24				
Población. Proporción	2012	Adeje	Mujeres	2.15				
Población	2011	Adeje	Mujeres	21900				
Población. Variación anual	2011	Adeje	Mujeres	677				
Población. Tasa de variación anual	2011	Adeje	Mujeres	3.19				
Población. Proporción	2011	Adeje	Mujeres	2.06				
Población	2010	Adeje	Mujeres	21223				
Población. Variación anual	2010	Adeje	Mujeres	296				
Población. Tasa de variación anual	2010	Adeje	Mujeres	1.41				
Población. Proporción	2010	Adeje	Mujeres	2				
Población	2009	Adeje	Mujeres	20927				
Población. Variación anual	2009	Adeje	Mujeres	1160				
Población. Tasa de variación anual	2009	Adeje	Mujeres	5.87				
Población. Proporción	2009	Adeje	Mujeres	1.99				
Población	2008	Adeje	Mujeres	19767				
Población. Variación anual	2008	Adeje	Mujeres	1350				
Población. Tasa de variación anual	2008	Adeje	Mujeres	7.33				
Población. Proporción	2008	Adeje	Mujeres	1.91				
Población	2007	Adeje	Mujeres	18417				
Población. Variación anual	2007	Adeje	Mujeres	917				
Población. Tasa de variación anual	2007	Adeje	Mujeres	5.24				
Población. Proporción	2007	Adeje	Mujeres	1.82				
Población	2006	Adeje	Mujeres	17500				
Población. Variación anual	2006	Adeje	Mujeres	1489				
Población. Tasa de variación anual	2006	Adeje	Mujeres	9.3				
Población. Proporción	2006	Adeje	Mujeres	1.76				
Población	2005	Adeje	Mujeres	16011				
Población. Variación anual	2005	Adeje	Mujeres	1582				
Población. Tasa de variación anual	2005	Adeje	Mujeres	10.96				
Población. Proporción	2005	Adeje	Mujeres	1.63				
Población	2004	Adeje	Mujeres	14429				
Población. Variación anual	2004	Adeje	Mujeres	1313				
Población. Tasa de variación anual	2004	Adeje	Mujeres	10.01				
Población. Proporción	2004	Adeje	Mujeres	1.51				
Población	2003	Adeje	Mujeres	13116				
Población. Variación anual	2003	Adeje	Mujeres	1046				
Población. Tasa de variación anual	2003	Adeje	Mujeres	8.67				
Población. Proporción	2003	Adeje	Mujeres	1.39				
Población	2002	Adeje	Mujeres	12070				
Población. Variación anual	2002	Adeje	Mujeres	1567				
Población. Tasa de variación anual	2002	Adeje	Mujeres	14.92				
Población. Proporción	2002	Adeje	Mujeres	1.31				
Población	2001	Adeje	Mujeres	10503				
Población. Variación anual	2001	Adeje	Mujeres	3519				
Población. Tasa de variación anual	2001	Adeje	Mujeres	50.39				
Población. Proporción	2001	Adeje	Mujeres	1.18				
Población	2000	Adeje	Mujeres	6984				
Población. Variación anual	2000	Adeje	Mujeres	212				
Población. Tasa de variación anual	2000	Adeje	Mujeres	3.13				
Población. Proporción	2000	Adeje	Mujeres	0.81				
Población	1999	Adeje	Mujeres	6772				
Población. Variación anual	1999	Adeje	Mujeres	0				
Población. Tasa de variación anual	1999	Adeje	Mujeres	0				
Población. Proporción	1999	Adeje	Mujeres	0.81				
Población	1998	Adeje	Mujeres	6772				
Población. Variación anual	1998	Adeje	Mujeres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Adeje	Mujeres				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Adeje	Mujeres	0.82				
Población	1996	Adeje	Mujeres	6963				
Población. Variación anual	1996	Adeje	Mujeres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Adeje	Mujeres				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Adeje	Mujeres	0.86				
Población	2021	Arafo	Total	5604				
Población. Variación anual	2021	Arafo	Total	11				
Población. Tasa de variación anual	2021	Arafo	Total	0.2				
Población. Proporción	2021	Arafo	Total	0.26				
Población	2020	Arafo	Total	5593				
Población. Variación anual	2020	Arafo	Total	42				
Población. Tasa de variación anual	2020	Arafo	Total	0.76				
Población. Proporción	2020	Arafo	Total	0.26				
Población	2019	Arafo	Total	5551				
Población. Variación anual	2019	Arafo	Total	-11				
Población. Tasa de variación anual	2019	Arafo	Total	-0.2				
Población. Proporción	2019	Arafo	Total	0.26				
Población	2018	Arafo	Total	5562				
Población. Variación anual	2018	Arafo	Total	31				
Población. Tasa de variación anual	2018	Arafo	Total	0.56				
Población. Proporción	2018	Arafo	Total	0.26				
Población	2017	Arafo	Total	5531				
Población. Variación anual	2017	Arafo	Total	73				
Población. Tasa de variación anual	2017	Arafo	Total	1.34				
Población. Proporción	2017	Arafo	Total	0.26				
Población	2016	Arafo	Total	5458				
Población. Variación anual	2016	Arafo	Total	-41				
Población. Tasa de variación anual	2016	Arafo	Total	-0.75				
Población. Proporción	2016	Arafo	Total	0.26				
Población	2015	Arafo	Total	5499				
Población. Variación anual	2015	Arafo	Total	35				
Población. Tasa de variación anual	2015	Arafo	Total	0.64				
Población. Proporción	2015	Arafo	Total	0.26				
Población	2014	Arafo	Total	5464				
Población. Variación anual	2014	Arafo	Total	-33				
Población. Tasa de variación anual	2014	Arafo	Total	-0.6				
Población. Proporción	2014	Arafo	Total	0.26				
Población	2013	Arafo	Total	5497				
Población. Variación anual	2013	Arafo	Total	-10				
Población. Tasa de variación anual	2013	Arafo	Total	-0.18				
Población. Proporción	2013	Arafo	Total	0.26				
Población	2012	Arafo	Total	5507				
Población. Variación anual	2012	Arafo	Total	-29				
Población. Tasa de variación anual	2012	Arafo	Total	-0.52				
Población. Proporción	2012	Arafo	Total	0.26				
Población	2011	Arafo	Total	5536				
Población. Variación anual	2011	Arafo	Total	-7				
Población. Tasa de variación anual	2011	Arafo	Total	-0.13				
Población. Proporción	2011	Arafo	Total	0.26				
Población	2010	Arafo	Total	5543				
Población. Variación anual	2010	Arafo	Total	41				
Población. Tasa de variación anual	2010	Arafo	Total	0.75				
Población. Proporción	2010	Arafo	Total	0.26				
Población	2009	Arafo	Total	5502				
Población. Variación anual	2009	Arafo	Total	156				
Población. Tasa de variación anual	2009	Arafo	Total	2.92				
Población. Proporción	2009	Arafo	Total	0.26				
Población	2008	Arafo	Total	5346				
Población. Variación anual	2008	Arafo	Total	36				
Población. Tasa de variación anual	2008	Arafo	Total	0.68				
Población. Proporción	2008	Arafo	Total	0.26				
Población	2007	Arafo	Total	5310				
Población. Variación anual	2007	Arafo	Total	53				
Población. Tasa de variación anual	2007	Arafo	Total	1.01				
Población. Proporción	2007	Arafo	Total	0.26				
Población	2006	Arafo	Total	5257				
Población. Variación anual	2006	Arafo	Total	-19				
Población. Tasa de variación anual	2006	Arafo	Total	-0.36				
Población. Proporción	2006	Arafo	Total	0.26				
Población	2005	Arafo	Total	5276				
Población. Variación anual	2005	Arafo	Total	20				
Población. Tasa de variación anual	2005	Arafo	Total	0.38				
Población. Proporción	2005	Arafo	Total	0.27				
Población	2004	Arafo	Total	5256				
Población. Variación anual	2004	Arafo	Total	134				
Población. Tasa de variación anual	2004	Arafo	Total	2.62				
Población. Proporción	2004	Arafo	Total	0.27				
Población	2003	Arafo	Total	5122				
Población. Variación anual	2003	Arafo	Total	-34				
Población. Tasa de variación anual	2003	Arafo	Total	-0.66				
Población. Proporción	2003	Arafo	Total	0.27				
Población	2002	Arafo	Total	5156				
Población. Variación anual	2002	Arafo	Total	144				
Población. Tasa de variación anual	2002	Arafo	Total	2.87				
Población. Proporción	2002	Arafo	Total	0.28				
Población	2001	Arafo	Total	5012				
Población. Variación anual	2001	Arafo	Total	210				
Población. Tasa de variación anual	2001	Arafo	Total	4.37				
Población. Proporción	2001	Arafo	Total	0.28				
Población	2000	Arafo	Total	4802				
Población. Variación anual	2000	Arafo	Total	133				
Población. Tasa de variación anual	2000	Arafo	Total	2.85				
Población. Proporción	2000	Arafo	Total	0.28				
Población	1999	Arafo	Total	4669				
Población. Variación anual	1999	Arafo	Total	133				
Población. Tasa de variación anual	1999	Arafo	Total	2.93				
Población. Proporción	1999	Arafo	Total	0.28				
Población	1998	Arafo	Total	4536				
Población. Variación anual	1998	Arafo	Total				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Arafo	Total				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Arafo	Total	0.28				
Población	1996	Arafo	Total	4667				
Población. Variación anual	1996	Arafo	Total				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Arafo	Total				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Arafo	Total	0.29				
Población	2021	Arafo	Hombres	2794				
Población. Variación anual	2021	Arafo	Hombres	25				
Población. Tasa de variación anual	2021	Arafo	Hombres	0.9				
Población. Proporción	2021	Arafo	Hombres	0.26				
Población	2020	Arafo	Hombres	2769				
Población. Variación anual	2020	Arafo	Hombres	38				
Población. Tasa de variación anual	2020	Arafo	Hombres	1.39				
Población. Proporción	2020	Arafo	Hombres	0.26				
Población	2019	Arafo	Hombres	2731				
Población. Variación anual	2019	Arafo	Hombres	-2				
Población. Tasa de variación anual	2019	Arafo	Hombres	-0.07				
Población. Proporción	2019	Arafo	Hombres	0.26				
Población	2018	Arafo	Hombres	2733				
Población. Variación anual	2018	Arafo	Hombres	12				
Población. Tasa de variación anual	2018	Arafo	Hombres	0.44				
Población. Proporción	2018	Arafo	Hombres	0.26				
Población	2017	Arafo	Hombres	2721				
Población. Variación anual	2017	Arafo	Hombres	38				
Población. Tasa de variación anual	2017	Arafo	Hombres	1.42				
Población. Proporción	2017	Arafo	Hombres	0.26				
Población	2016	Arafo	Hombres	2683				
Población. Variación anual	2016	Arafo	Hombres	-43				
Población. Tasa de variación anual	2016	Arafo	Hombres	-1.58				
Población. Proporción	2016	Arafo	Hombres	0.26				
Población	2015	Arafo	Hombres	2726				
Población. Variación anual	2015	Arafo	Hombres	22				
Población. Tasa de variación anual	2015	Arafo	Hombres	0.81				
Población. Proporción	2015	Arafo	Hombres	0.26				
Población	2014	Arafo	Hombres	2704				
Población. Variación anual	2014	Arafo	Hombres	-12				
Población. Tasa de variación anual	2014	Arafo	Hombres	-0.44				
Población. Proporción	2014	Arafo	Hombres	0.26				
Población	2013	Arafo	Hombres	2716				
Población. Variación anual	2013	Arafo	Hombres	-3				
Población. Tasa de variación anual	2013	Arafo	Hombres	-0.11				
Población. Proporción	2013	Arafo	Hombres	0.26				
Población	2012	Arafo	Hombres	2719				
Población. Variación anual	2012	Arafo	Hombres	-34				
Población. Tasa de variación anual	2012	Arafo	Hombres	-1.24				
Población. Proporción	2012	Arafo	Hombres	0.26				
Población	2011	Arafo	Hombres	2753				
Población. Variación anual	2011	Arafo	Hombres	22				
Población. Tasa de variación anual	2011	Arafo	Hombres	0.81				
Población. Proporción	2011	Arafo	Hombres	0.26				
Población	2010	Arafo	Hombres	2731				
Población. Variación anual	2010	Arafo	Hombres	34				
Población. Tasa de variación anual	2010	Arafo	Hombres	1.26				
Población. Proporción	2010	Arafo	Hombres	0.26				
Población	2009	Arafo	Hombres	2697				
Población. Variación anual	2009	Arafo	Hombres	94				
Población. Tasa de variación anual	2009	Arafo	Hombres	3.61				
Población. Proporción	2009	Arafo	Hombres	0.26				
Población	2008	Arafo	Hombres	2603				
Población. Variación anual	2008	Arafo	Hombres	35				
Población. Tasa de variación anual	2008	Arafo	Hombres	1.36				
Población. Proporción	2008	Arafo	Hombres	0.25				
Población	2007	Arafo	Hombres	2568				
Población. Variación anual	2007	Arafo	Hombres	35				
Población. Tasa de variación anual	2007	Arafo	Hombres	1.38				
Población. Proporción	2007	Arafo	Hombres	0.25				
Población	2006	Arafo	Hombres	2533				
Población. Variación anual	2006	Arafo	Hombres	-25				
Población. Tasa de variación anual	2006	Arafo	Hombres	-0.98				
Población. Proporción	2006	Arafo	Hombres	0.25				
Población	2005	Arafo	Hombres	2558				
Población. Variación anual	2005	Arafo	Hombres	3				
Población. Tasa de variación anual	2005	Arafo	Hombres	0.12				
Población. Proporción	2005	Arafo	Hombres	0.26				
Población	2004	Arafo	Hombres	2555				
Población. Variación anual	2004	Arafo	Hombres	69				
Población. Tasa de variación anual	2004	Arafo	Hombres	2.78				
Población. Proporción	2004	Arafo	Hombres	0.27				
Población	2003	Arafo	Hombres	2486				
Población. Variación anual	2003	Arafo	Hombres	11				
Población. Tasa de variación anual	2003	Arafo	Hombres	0.44				
Población. Proporción	2003	Arafo	Hombres	0.26				
Población	2002	Arafo	Hombres	2475				
Población. Variación anual	2002	Arafo	Hombres	58				
Población. Tasa de variación anual	2002	Arafo	Hombres	2.4				
Población. Proporción	2002	Arafo	Hombres	0.27				
Población	2001	Arafo	Hombres	2417				
Población. Variación anual	2001	Arafo	Hombres	95				
Población. Tasa de variación anual	2001	Arafo	Hombres	4.09				
Población. Proporción	2001	Arafo	Hombres	0.27				
Población	2000	Arafo	Hombres	2322				
Población. Variación anual	2000	Arafo	Hombres	68				
Población. Tasa de variación anual	2000	Arafo	Hombres	3.02				
Población. Proporción	2000	Arafo	Hombres	0.27				
Población	1999	Arafo	Hombres	2254				
Población. Variación anual	1999	Arafo	Hombres	56				
Población. Tasa de variación anual	1999	Arafo	Hombres	2.55				
Población. Proporción	1999	Arafo	Hombres	0.27				
Población	1998	Arafo	Hombres	2198				
Población. Variación anual	1998	Arafo	Hombres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Arafo	Hombres				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Arafo	Hombres	0.27				
Población	1996	Arafo	Hombres	2262				
Población. Variación anual	1996	Arafo	Hombres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Arafo	Hombres				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Arafo	Hombres	0.28				
Población	2021	Arafo	Mujeres	2810				
Población. Variación anual	2021	Arafo	Mujeres	-14				
Población. Tasa de variación anual	2021	Arafo	Mujeres	-0.5				
Población. Proporción	2021	Arafo	Mujeres	0.26				
Población	2020	Arafo	Mujeres	2824				
Población. Variación anual	2020	Arafo	Mujeres	4				
Población. Tasa de variación anual	2020	Arafo	Mujeres	0.14				
Población. Proporción	2020	Arafo	Mujeres	0.26				
Población	2019	Arafo	Mujeres	2820				
Población. Variación anual	2019	Arafo	Mujeres	-9				
Población. Tasa de variación anual	2019	Arafo	Mujeres	-0.32				
Población. Proporción	2019	Arafo	Mujeres	0.26				
Población	2018	Arafo	Mujeres	2829				
Población. Variación anual	2018	Arafo	Mujeres	19				
Población. Tasa de variación anual	2018	Arafo	Mujeres	0.68				
Población. Proporción	2018	Arafo	Mujeres	0.26				
Población	2017	Arafo	Mujeres	2810				
Población. Variación anual	2017	Arafo	Mujeres	35				
Población. Tasa de variación anual	2017	Arafo	Mujeres	1.26				
Población. Proporción	2017	Arafo	Mujeres	0.26				
Población	2016	Arafo	Mujeres	2775				
Población. Variación anual	2016	Arafo	Mujeres	2				
Población. Tasa de variación anual	2016	Arafo	Mujeres	0.07				
Población. Proporción	2016	Arafo	Mujeres	0.26				
Población	2015	Arafo	Mujeres	2773				
Población. Variación anual	2015	Arafo	Mujeres	13				
Población. Tasa de variación anual	2015	Arafo	Mujeres	0.47				
Población. Proporción	2015	Arafo	Mujeres	0.26				
Población	2014	Arafo	Mujeres	2760				
Población. Variación anual	2014	Arafo	Mujeres	-21				
Población. Tasa de variación anual	2014	Arafo	Mujeres	-0.76				
Población. Proporción	2014	Arafo	Mujeres	0.26				
Población	2013	Arafo	Mujeres	2781				
Población. Variación anual	2013	Arafo	Mujeres	-7				
Población. Tasa de variación anual	2013	Arafo	Mujeres	-0.25				
Población. Proporción	2013	Arafo	Mujeres	0.26				
Población	2012	Arafo	Mujeres	2788				
Población. Variación anual	2012	Arafo	Mujeres	5				
Población. Tasa de variación anual	2012	Arafo	Mujeres	0.18				
Población. Proporción	2012	Arafo	Mujeres	0.26				
Población	2011	Arafo	Mujeres	2783				
Población. Variación anual	2011	Arafo	Mujeres	-29				
Población. Tasa de variación anual	2011	Arafo	Mujeres	-1.03				
Población. Proporción	2011	Arafo	Mujeres	0.26				
Población	2010	Arafo	Mujeres	2812				
Población. Variación anual	2010	Arafo	Mujeres	7				
Población. Tasa de variación anual	2010	Arafo	Mujeres	0.25				
Población. Proporción	2010	Arafo	Mujeres	0.27				
Población	2009	Arafo	Mujeres	2805				
Población. Variación anual	2009	Arafo	Mujeres	62				
Población. Tasa de variación anual	2009	Arafo	Mujeres	2.26				
Población. Proporción	2009	Arafo	Mujeres	0.27				
Población	2008	Arafo	Mujeres	2743				
Población. Variación anual	2008	Arafo	Mujeres	1				
Población. Tasa de variación anual	2008	Arafo	Mujeres	0.04				
Población. Proporción	2008	Arafo	Mujeres	0.26				
Población	2007	Arafo	Mujeres	2742				
Población. Variación anual	2007	Arafo	Mujeres	18				
Población. Tasa de variación anual	2007	Arafo	Mujeres	0.66				
Población. Proporción	2007	Arafo	Mujeres	0.27				
Población	2006	Arafo	Mujeres	2724				
Población. Variación anual	2006	Arafo	Mujeres	6				
Población. Tasa de variación anual	2006	Arafo	Mujeres	0.22				
Población. Proporción	2006	Arafo	Mujeres	0.27				
Población	2005	Arafo	Mujeres	2718				
Población. Variación anual	2005	Arafo	Mujeres	17				
Población. Tasa de variación anual	2005	Arafo	Mujeres	0.63				
Población. Proporción	2005	Arafo	Mujeres	0.28				
Población	2004	Arafo	Mujeres	2701				
Población. Variación anual	2004	Arafo	Mujeres	65				
Población. Tasa de variación anual	2004	Arafo	Mujeres	2.47				
Población. Proporción	2004	Arafo	Mujeres	0.28				
Población	2003	Arafo	Mujeres	2636				
Población. Variación anual	2003	Arafo	Mujeres	-45				
Población. Tasa de variación anual	2003	Arafo	Mujeres	-1.68				
Población. Proporción	2003	Arafo	Mujeres	0.28				
Población	2002	Arafo	Mujeres	2681				
Población. Variación anual	2002	Arafo	Mujeres	86				
Población. Tasa de variación anual	2002	Arafo	Mujeres	3.31				
Población. Proporción	2002	Arafo	Mujeres	0.29				
Población	2001	Arafo	Mujeres	2595				
Población. Variación anual	2001	Arafo	Mujeres	115				
Población. Tasa de variación anual	2001	Arafo	Mujeres	4.64				
Población. Proporción	2001	Arafo	Mujeres	0.29				
Población	2000	Arafo	Mujeres	2480				
Población. Variación anual	2000	Arafo	Mujeres	65				
Población. Tasa de variación anual	2000	Arafo	Mujeres	2.69				
Población. Proporción	2000	Arafo	Mujeres	0.29				
Población	1999	Arafo	Mujeres	2415				
Población. Variación anual	1999	Arafo	Mujeres	77				
Población. Tasa de variación anual	1999	Arafo	Mujeres	3.29				
Población. Proporción	1999	Arafo	Mujeres	0.29				
Población	1998	Arafo	Mujeres	2338				
Población. Variación anual	1998	Arafo	Mujeres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Arafo	Mujeres				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Arafo	Mujeres	0.28				
Población	1996	Arafo	Mujeres	2405				
Población. Variación anual	1996	Arafo	Mujeres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Arafo	Mujeres				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Arafo	Mujeres	0.3				
Población	2021	Arico	Total	8234				
Población. Variación anual	2021	Arico	Total	123				
Población. Tasa de variación anual	2021	Arico	Total	1.52				
Población. Proporción	2021	Arico	Total	0.38				
Población	2020	Arico	Total	8111				
Población. Variación anual	2020	Arico	Total	123				
Población. Tasa de variación anual	2020	Arico	Total	1.54				
Población. Proporción	2020	Arico	Total	0.37				
Población	2019	Arico	Total	7988				
Población. Variación anual	2019	Arico	Total	157				
Población. Tasa de variación anual	2019	Arico	Total	2				
Población. Proporción	2019	Arico	Total	0.37				
Población	2018	Arico	Total	7831				
Población. Variación anual	2018	Arico	Total	237				
Población. Tasa de variación anual	2018	Arico	Total	3.12				
Población. Proporción	2018	Arico	Total	0.37				
Población	2017	Arico	Total	7594				
Población. Variación anual	2017	Arico	Total	171				
Población. Tasa de variación anual	2017	Arico	Total	2.3				
Población. Proporción	2017	Arico	Total	0.36				
Población	2016	Arico	Total	7423				
Población. Variación anual	2016	Arico	Total	96				
Población. Tasa de variación anual	2016	Arico	Total	1.31				
Población. Proporción	2016	Arico	Total	0.35				
Población	2015	Arico	Total	7327				
Población. Variación anual	2015	Arico	Total	-343				
Población. Tasa de variación anual	2015	Arico	Total	-4.47				
Población. Proporción	2015	Arico	Total	0.35				
Población	2014	Arico	Total	7670				
Población. Variación anual	2014	Arico	Total	278				
Población. Tasa de variación anual	2014	Arico	Total	3.76				
Población. Proporción	2014	Arico	Total	0.36				
Población	2013	Arico	Total	7392				
Población. Variación anual	2013	Arico	Total	-698				
Población. Tasa de variación anual	2013	Arico	Total	-8.63				
Población. Proporción	2013	Arico	Total	0.35				
Población	2012	Arico	Total	8090				
Población. Variación anual	2012	Arico	Total	166				
Población. Tasa de variación anual	2012	Arico	Total	2.09				
Población. Proporción	2012	Arico	Total	0.38				
Población	2011	Arico	Total	7924				
Población. Variación anual	2011	Arico	Total	33				
Población. Tasa de variación anual	2011	Arico	Total	0.42				
Población. Proporción	2011	Arico	Total	0.37				
Población	2010	Arico	Total	7891				
Población. Variación anual	2010	Arico	Total	41				
Población. Tasa de variación anual	2010	Arico	Total	0.52				
Población. Proporción	2010	Arico	Total	0.37				
Población	2009	Arico	Total	7850				
Población. Variación anual	2009	Arico	Total	152				
Población. Tasa de variación anual	2009	Arico	Total	1.97				
Población. Proporción	2009	Arico	Total	0.37				
Población	2008	Arico	Total	7698				
Población. Variación anual	2008	Arico	Total	133				
Población. Tasa de variación anual	2008	Arico	Total	1.76				
Población. Proporción	2008	Arico	Total	0.37				
Población	2007	Arico	Total	7565				
Población. Variación anual	2007	Arico	Total	461				
Población. Tasa de variación anual	2007	Arico	Total	6.49				
Población. Proporción	2007	Arico	Total	0.37				
Población	2006	Arico	Total	7104				
Población. Variación anual	2006	Arico	Total	-55				
Población. Tasa de variación anual	2006	Arico	Total	-0.77				
Población. Proporción	2006	Arico	Total	0.36				
Población	2005	Arico	Total	7159				
Población. Variación anual	2005	Arico	Total	154				
Población. Tasa de variación anual	2005	Arico	Total	2.2				
Población. Proporción	2005	Arico	Total	0.36				
Población	2004	Arico	Total	7005				
Población. Variación anual	2004	Arico	Total	77				
Población. Tasa de variación anual	2004	Arico	Total	1.11				
Población. Proporción	2004	Arico	Total	0.37				
Población	2003	Arico	Total	6928				
Población. Variación anual	2003	Arico	Total	275				
Población. Tasa de variación anual	2003	Arico	Total	4.13				
Población. Proporción	2003	Arico	Total	0.37				
Población	2002	Arico	Total	6653				
Población. Variación anual	2002	Arico	Total	419				
Población. Tasa de variación anual	2002	Arico	Total	6.72				
Población. Proporción	2002	Arico	Total	0.36				
Población	2001	Arico	Total	6234				
Población. Variación anual	2001	Arico	Total	590				
Población. Tasa de variación anual	2001	Arico	Total	10.45				
Población. Proporción	2001	Arico	Total	0.35				
Población	2000	Arico	Total	5644				
Población. Variación anual	2000	Arico	Total	529				
Población. Tasa de variación anual	2000	Arico	Total	10.34				
Población. Proporción	2000	Arico	Total	0.33				
Población	1999	Arico	Total	5115				
Población. Variación anual	1999	Arico	Total	62				
Población. Tasa de variación anual	1999	Arico	Total	1.23				
Población. Proporción	1999	Arico	Total	0.31				
Población	1998	Arico	Total	5053				
Población. Variación anual	1998	Arico	Total				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Arico	Total				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Arico	Total	0.31				
Población	1996	Arico	Total	5064				
Población. Variación anual	1996	Arico	Total				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Arico	Total				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Arico	Total	0.32				
Población	2021	Arico	Hombres	4235				
Población. Variación anual	2021	Arico	Hombres	64				
Población. Tasa de variación anual	2021	Arico	Hombres	1.53				
Población. Proporción	2021	Arico	Hombres	0.39				
Población	2020	Arico	Hombres	4171				
Población. Variación anual	2020	Arico	Hombres	20				
Población. Tasa de variación anual	2020	Arico	Hombres	0.48				
Población. Proporción	2020	Arico	Hombres	0.39				
Población	2019	Arico	Hombres	4151				
Población. Variación anual	2019	Arico	Hombres	59				
Población. Tasa de variación anual	2019	Arico	Hombres	1.44				
Población. Proporción	2019	Arico	Hombres	0.39				
Población	2018	Arico	Hombres	4092				
Población. Variación anual	2018	Arico	Hombres	132				
Población. Tasa de variación anual	2018	Arico	Hombres	3.33				
Población. Proporción	2018	Arico	Hombres	0.39				
Población	2017	Arico	Hombres	3960				
Población. Variación anual	2017	Arico	Hombres	112				
Población. Tasa de variación anual	2017	Arico	Hombres	2.91				
Población. Proporción	2017	Arico	Hombres	0.38				
Población	2016	Arico	Hombres	3848				
Población. Variación anual	2016	Arico	Hombres	23				
Población. Tasa de variación anual	2016	Arico	Hombres	0.6				
Población. Proporción	2016	Arico	Hombres	0.37				
Población	2015	Arico	Hombres	3825				
Población. Variación anual	2015	Arico	Hombres	-180				
Población. Tasa de variación anual	2015	Arico	Hombres	-4.49				
Población. Proporción	2015	Arico	Hombres	0.37				
Población	2014	Arico	Hombres	4005				
Población. Variación anual	2014	Arico	Hombres	180				
Población. Tasa de variación anual	2014	Arico	Hombres	4.71				
Población. Proporción	2014	Arico	Hombres	0.38				
Población	2013	Arico	Hombres	3825				
Población. Variación anual	2013	Arico	Hombres	-329				
Población. Tasa de variación anual	2013	Arico	Hombres	-7.92				
Población. Proporción	2013	Arico	Hombres	0.36				
Población	2012	Arico	Hombres	4154				
Población. Variación anual	2012	Arico	Hombres	84				
Población. Tasa de variación anual	2012	Arico	Hombres	2.06				
Población. Proporción	2012	Arico	Hombres	0.39				
Población	2011	Arico	Hombres	4070				
Población. Variación anual	2011	Arico	Hombres	-3				
Población. Tasa de variación anual	2011	Arico	Hombres	-0.07				
Población. Proporción	2011	Arico	Hombres	0.38				
Población	2010	Arico	Hombres	4073				
Población. Variación anual	2010	Arico	Hombres	29				
Población. Tasa de variación anual	2010	Arico	Hombres	0.72				
Población. Proporción	2010	Arico	Hombres	0.38				
Población	2009	Arico	Hombres	4044				
Población. Variación anual	2009	Arico	Hombres	98				
Población. Tasa de variación anual	2009	Arico	Hombres	2.48				
Población. Proporción	2009	Arico	Hombres	0.38				
Población	2008	Arico	Hombres	3946				
Población. Variación anual	2008	Arico	Hombres	62				
Población. Tasa de variación anual	2008	Arico	Hombres	1.6				
Población. Proporción	2008	Arico	Hombres	0.38				
Población	2007	Arico	Hombres	3884				
Población. Variación anual	2007	Arico	Hombres	214				
Población. Tasa de variación anual	2007	Arico	Hombres	5.83				
Población. Proporción	2007	Arico	Hombres	0.38				
Población	2006	Arico	Hombres	3670				
Población. Variación anual	2006	Arico	Hombres	-35				
